  0% 0/2660 [00:00<?, ?it/s]/usr/local/lib/python3.12/dist-packages/torch/_dynamo/eval_frame.py:929: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. In version 2.5 we will raise an exception if use_reentrant is not passed. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
                                        
{'loss': 2.2601, 'grad_norm': 1.2374781370162964, 'learning_rate': 0.00019999435079407074, 'entropy': 1.895793652534485, 'num_tokens': 7949.0, 'mean_token_accuracy': 0.629296875, 'epoch': 0.03}
{'loss': 1.4018, 'grad_norm': 0.897977888584137, 'learning_rate': 0.00019997482349425066, 'entropy': 1.3693497061729432, 'num_tokens': 16091.0, 'mean_token_accuracy': 0.75390625, 'epoch': 0.05}
{'loss': 1.3213, 'grad_norm': 1.180069923400879, 'learning_rate': 0.00019994135108039815, 'entropy': 1.3188833475112915, 'num_tokens': 24357.0, 'mean_token_accuracy': 0.765625, 'epoch': 0.08}
{'loss': 1.2519, 'grad_norm': 2.2529783248901367, 'learning_rate': 0.0001998939382214549, 'entropy': 1.2637864649295807, 'num_tokens': 32460.0, 'mean_token_accuracy': 0.768359375, 'epoch': 0.11}
{'loss': 1.0723, 'grad_norm': 1.3390185832977295, 'learning_rate': 0.00019983259153086327, 'entropy': 1.0602189302444458, 'num_tokens': 40210.0, 'mean_token_accuracy': 0.784375, 'epoch': 0.13}
{'loss': 1.1455, 'grad_norm': 1.14247727394104, 'learning_rate': 0.0001997573195656435, 'entropy': 1.126094436645508, 'num_tokens': 48402.0, 'mean_token_accuracy': 0.76328125, 'epoch': 0.16}
{'loss': 1.0458, 'grad_norm': 1.1265819072723389, 'learning_rate': 0.00019966813282520045, 'entropy': 1.0811333537101746, 'num_tokens': 56489.0, 'mean_token_accuracy': 0.784375, 'epoch': 0.18}
{'loss': 1.0652, 'grad_norm': 1.0902358293533325, 'learning_rate': 0.0001995650437498587, 'entropy': 1.0327233135700227, 'num_tokens': 64685.0, 'mean_token_accuracy': 0.775390625, 'epoch': 0.21}
{'loss': 1.1108, 'grad_norm': 0.971784234046936, 'learning_rate': 0.00019944806671912772, 'entropy': 1.1027137100696565, 'num_tokens': 73063.0, 'mean_token_accuracy': 0.766796875, 'epoch': 0.24}
{'loss': 1.0263, 'grad_norm': 0.8510435223579407, 'learning_rate': 0.00019931721804969577, 'entropy': 1.0491583943367004, 'num_tokens': 81259.0, 'mean_token_accuracy': 0.784765625, 'epoch': 0.26}
{'loss': 1.0291, 'grad_norm': 0.9247771501541138, 'learning_rate': 0.0001991725159931541, 'entropy': 1.0210981667041779, 'num_tokens': 89218.0, 'mean_token_accuracy': 0.783984375, 'epoch': 0.29}
{'loss': 1.0248, 'grad_norm': 0.8762895464897156, 'learning_rate': 0.00019901398073345118, 'entropy': 1.0197650730609893, 'num_tokens': 97460.0, 'mean_token_accuracy': 0.7828125, 'epoch': 0.32}
{'loss': 1.0466, 'grad_norm': 0.9264843463897705, 'learning_rate': 0.0001988416343840771, 'entropy': 1.0564423322677612, 'num_tokens': 105597.0, 'mean_token_accuracy': 0.779296875, 'epoch': 0.34}
{'loss': 1.0119, 'grad_norm': 0.908937394618988, 'learning_rate': 0.00019865550098497928, 'entropy': 1.0416124701499938, 'num_tokens': 113676.0, 'mean_token_accuracy': 0.78046875, 'epoch': 0.37}
{'loss': 1.0363, 'grad_norm': 1.0012180805206299, 'learning_rate': 0.00019845560649920898, 'entropy': 1.0143473446369171, 'num_tokens': 121882.0, 'mean_token_accuracy': 0.773046875, 'epoch': 0.39}
{'loss': 1.0545, 'grad_norm': 0.8735345005989075, 'learning_rate': 0.00019824197880930012, 'entropy': 1.059800672531128, 'num_tokens': 129943.0, 'mean_token_accuracy': 0.77109375, 'epoch': 0.42}
{'loss': 1.0179, 'grad_norm': 0.9372571110725403, 'learning_rate': 0.00019801464771337978, 'entropy': 1.0142985880374908, 'num_tokens': 138201.0, 'mean_token_accuracy': 0.782421875, 'epoch': 0.45}
{'loss': 1.0555, 'grad_norm': 0.8585644364356995, 'learning_rate': 0.00019777364492101182, 'entropy': 1.0829712808132173, 'num_tokens': 146342.0, 'mean_token_accuracy': 0.77734375, 'epoch': 0.47}
{'loss': 1.0044, 'grad_norm': 0.8316996693611145, 'learning_rate': 0.000197519004048774, 'entropy': 0.9813244938850403, 'num_tokens': 154449.0, 'mean_token_accuracy': 0.7859375, 'epoch': 0.5}
{'loss': 1.0138, 'grad_norm': 0.8875827193260193, 'learning_rate': 0.00019725076061556868, 'entropy': 1.0592409253120423, 'num_tokens': 162583.0, 'mean_token_accuracy': 0.77421875, 'epoch': 0.53}
{'loss': 0.9556, 'grad_norm': 0.8227329850196838, 'learning_rate': 0.0001969689520376687, 'entropy': 0.9431594610214233, 'num_tokens': 170630.0, 'mean_token_accuracy': 0.793359375, 'epoch': 0.55}
{'loss': 1.0106, 'grad_norm': 0.7931251525878906, 'learning_rate': 0.00019667361762349802, 'entropy': 1.0261181235313415, 'num_tokens': 178894.0, 'mean_token_accuracy': 0.780078125, 'epoch': 0.58}
{'loss': 0.9393, 'grad_norm': 0.9129068851470947, 'learning_rate': 0.00019636479856814898, 'entropy': 0.9181529402732849, 'num_tokens': 186894.0, 'mean_token_accuracy': 0.79140625, 'epoch': 0.61}
{'loss': 0.9961, 'grad_norm': 0.8849886655807495, 'learning_rate': 0.00019604253794763604, 'entropy': 1.0025632500648498, 'num_tokens': 194985.0, 'mean_token_accuracy': 0.780859375, 'epoch': 0.63}
{'loss': 0.9538, 'grad_norm': 0.9298192858695984, 'learning_rate': 0.00019570688071288733, 'entropy': 0.9550220131874084, 'num_tokens': 203101.0, 'mean_token_accuracy': 0.7890625, 'epoch': 0.66}
{'loss': 0.9687, 'grad_norm': 0.7898933291435242, 'learning_rate': 0.00019535787368347442, 'entropy': 0.9437643229961395, 'num_tokens': 211205.0, 'mean_token_accuracy': 0.791796875, 'epoch': 0.68}
{'loss': 0.9763, 'grad_norm': 0.832633376121521, 'learning_rate': 0.00019499556554108198, 'entropy': 1.0022371709346771, 'num_tokens': 219287.0, 'mean_token_accuracy': 0.780078125, 'epoch': 0.71}
{'loss': 0.9437, 'grad_norm': 0.7450162172317505, 'learning_rate': 0.00019462000682271704, 'entropy': 0.9352660834789276, 'num_tokens': 227454.0, 'mean_token_accuracy': 0.789453125, 'epoch': 0.74}
{'loss': 0.9443, 'grad_norm': 0.9692969918251038, 'learning_rate': 0.00019423124991365992, 'entropy': 0.9540180742740632, 'num_tokens': 235526.0, 'mean_token_accuracy': 0.792578125, 'epoch': 0.76}
{'loss': 0.9214, 'grad_norm': 0.8401826620101929, 'learning_rate': 0.00019382934904015712, 'entropy': 0.9132059037685394, 'num_tokens': 243457.0, 'mean_token_accuracy': 0.79296875, 'epoch': 0.79}
{'loss': 0.9612, 'grad_norm': 0.8366655111312866, 'learning_rate': 0.00019341436026185771, 'entropy': 0.9697312653064728, 'num_tokens': 251637.0, 'mean_token_accuracy': 0.788671875, 'epoch': 0.82}
{'loss': 0.9214, 'grad_norm': 0.86719810962677, 'learning_rate': 0.00019298634146399345, 'entropy': 0.9185619533061982, 'num_tokens': 260272.0, 'mean_token_accuracy': 0.790625, 'epoch': 0.84}
{'loss': 0.9596, 'grad_norm': 0.8101968169212341, 'learning_rate': 0.00019254535234930486, 'entropy': 0.9600078701972962, 'num_tokens': 268427.0, 'mean_token_accuracy': 0.791015625, 'epoch': 0.87}
{'loss': 0.9204, 'grad_norm': 0.8899100422859192, 'learning_rate': 0.00019209145442971342, 'entropy': 0.9193969428539276, 'num_tokens': 276878.0, 'mean_token_accuracy': 0.7953125, 'epoch': 0.89}
{'loss': 0.9534, 'grad_norm': 0.927383303642273, 'learning_rate': 0.00019162471101774148, 'entropy': 0.9502185165882111, 'num_tokens': 285337.0, 'mean_token_accuracy': 0.79453125, 'epoch': 0.92}
{'loss': 0.9567, 'grad_norm': 0.8677185773849487, 'learning_rate': 0.0001911451872176811, 'entropy': 0.9487717390060425, 'num_tokens': 293353.0, 'mean_token_accuracy': 0.791796875, 'epoch': 0.95}
{'loss': 0.9689, 'grad_norm': 0.8837996125221252, 'learning_rate': 0.00019065294991651272, 'entropy': 0.9366349577903748, 'num_tokens': 301439.0, 'mean_token_accuracy': 0.794140625, 'epoch': 0.97}
{'loss': 0.9503, 'grad_norm': 0.8851235508918762, 'learning_rate': 0.00019014806777457567, 'entropy': 0.9890256881713867, 'num_tokens': 309462.0, 'mean_token_accuracy': 0.789453125, 'epoch': 1.0}
  return fn(*args, **kwargs)
                                        
{'loss': 0.7703, 'grad_norm': 0.9337577819824219, 'learning_rate': 0.00018963061121599067, 'entropy': 0.8492777168750762, 'num_tokens': 317618.0, 'mean_token_accuracy': 0.825390625, 'epoch': 1.03}
{'loss': 0.7371, 'grad_norm': 0.9371058344841003, 'learning_rate': 0.0001891006524188368, 'entropy': 0.7179926753044128, 'num_tokens': 325626.0, 'mean_token_accuracy': 0.819921875, 'epoch': 1.05}
{'loss': 0.7411, 'grad_norm': 0.8415772318840027, 'learning_rate': 0.0001885582653050836, 'entropy': 0.8040824055671691, 'num_tokens': 333748.0, 'mean_token_accuracy': 0.8203125, 'epoch': 1.08}
{'loss': 0.7917, 'grad_norm': 1.1360342502593994, 'learning_rate': 0.00018800352553028006, 'entropy': 0.7947077453136444, 'num_tokens': 341899.0, 'mean_token_accuracy': 0.810546875, 'epoch': 1.11}
{'loss': 0.7912, 'grad_norm': 1.0947961807250977, 'learning_rate': 0.00018743651047300151, 'entropy': 0.8154733657836915, 'num_tokens': 349987.0, 'mean_token_accuracy': 0.812109375, 'epoch': 1.13}
{'loss': 0.7647, 'grad_norm': 1.0350786447525024, 'learning_rate': 0.00018685729922405663, 'entropy': 0.785093092918396, 'num_tokens': 357940.0, 'mean_token_accuracy': 0.8203125, 'epoch': 1.16}
{'loss': 0.7593, 'grad_norm': 1.0017582178115845, 'learning_rate': 0.00018626597257545511, 'entropy': 0.7858902513980865, 'num_tokens': 366140.0, 'mean_token_accuracy': 0.81328125, 'epoch': 1.18}
{'loss': 0.7593, 'grad_norm': 0.9585570096969604, 'learning_rate': 0.00018566261300913855, 'entropy': 0.7876866817474365, 'num_tokens': 374368.0, 'mean_token_accuracy': 0.816796875, 'epoch': 1.21}
{'loss': 0.784, 'grad_norm': 1.0680508613586426, 'learning_rate': 0.0001850473046854751, 'entropy': 0.7796175539493561, 'num_tokens': 382576.0, 'mean_token_accuracy': 0.81484375, 'epoch': 1.24}
{'loss': 0.7681, 'grad_norm': 1.0924474000930786, 'learning_rate': 0.00018442013343152042, 'entropy': 0.8213006496429444, 'num_tokens': 390611.0, 'mean_token_accuracy': 0.81640625, 'epoch': 1.26}
{'loss': 0.7735, 'grad_norm': 1.0896058082580566, 'learning_rate': 0.00018378118672904585, 'entropy': 0.7519477844238281, 'num_tokens': 398767.0, 'mean_token_accuracy': 0.815234375, 'epoch': 1.29}
{'loss': 0.8004, 'grad_norm': 1.0088281631469727, 'learning_rate': 0.0001831305537023361, 'entropy': 0.8308240890502929, 'num_tokens': 406899.0, 'mean_token_accuracy': 0.81015625, 'epoch': 1.32}
{'loss': 0.7536, 'grad_norm': 1.1875633001327515, 'learning_rate': 0.00018246832510575742, 'entropy': 0.7669740080833435, 'num_tokens': 414946.0, 'mean_token_accuracy': 0.819921875, 'epoch': 1.34}
{'loss': 0.7633, 'grad_norm': 0.9354516863822937, 'learning_rate': 0.00018179459331109875, 'entropy': 0.7656680703163147, 'num_tokens': 423054.0, 'mean_token_accuracy': 0.812890625, 'epoch': 1.37}
{'loss': 0.8055, 'grad_norm': 0.9940827488899231, 'learning_rate': 0.00018110945229468715, 'entropy': 0.8411072850227356, 'num_tokens': 431404.0, 'mean_token_accuracy': 0.806640625, 'epoch': 1.39}
{'loss': 0.8122, 'grad_norm': 1.0071302652359009, 'learning_rate': 0.00018041299762427916, 'entropy': 0.8194120109081269, 'num_tokens': 439511.0, 'mean_token_accuracy': 0.805078125, 'epoch': 1.42}
{'loss': 0.8044, 'grad_norm': 1.2711299657821655, 'learning_rate': 0.00017970532644573075, 'entropy': 0.8027348041534423, 'num_tokens': 447503.0, 'mean_token_accuracy': 0.8109375, 'epoch': 1.45}
{'loss': 0.791, 'grad_norm': 1.0749467611312866, 'learning_rate': 0.00017898653746944654, 'entropy': 0.8159308850765228, 'num_tokens': 455628.0, 'mean_token_accuracy': 0.81328125, 'epoch': 1.47}
{'loss': 0.7447, 'grad_norm': 1.0630172491073608, 'learning_rate': 0.00017825673095661122, 'entropy': 0.7613434314727783, 'num_tokens': 463881.0, 'mean_token_accuracy': 0.8171875, 'epoch': 1.5}
{'loss': 0.7816, 'grad_norm': 0.9685100317001343, 'learning_rate': 0.00017751600870520435, 'entropy': 0.8065051972866059, 'num_tokens': 472550.0, 'mean_token_accuracy': 0.815234375, 'epoch': 1.53}
{'loss': 0.7756, 'grad_norm': 0.9478263854980469, 'learning_rate': 0.0001767644740358011, 'entropy': 0.7878332197666168, 'num_tokens': 480706.0, 'mean_token_accuracy': 0.816796875, 'epoch': 1.55}
{'loss': 0.7628, 'grad_norm': 1.0652562379837036, 'learning_rate': 0.00017600223177716034, 'entropy': 0.7761278033256531, 'num_tokens': 488802.0, 'mean_token_accuracy': 0.816015625, 'epoch': 1.58}
{'loss': 0.8027, 'grad_norm': 0.9748636484146118, 'learning_rate': 0.0001752293882516025, 'entropy': 0.7995073556900024, 'num_tokens': 496961.0, 'mean_token_accuracy': 0.814453125, 'epoch': 1.61}
{'loss': 0.767, 'grad_norm': 1.1117149591445923, 'learning_rate': 0.00017444605126017897, 'entropy': 0.7917840957641602, 'num_tokens': 505145.0, 'mean_token_accuracy': 0.815625, 'epoch': 1.63}
{'loss': 0.7662, 'grad_norm': 0.9803131818771362, 'learning_rate': 0.00017365233006763557, 'entropy': 0.7850126624107361, 'num_tokens': 513239.0, 'mean_token_accuracy': 0.821875, 'epoch': 1.66}
{'loss': 0.7432, 'grad_norm': 0.9380047917366028, 'learning_rate': 0.0001728483353871714, 'entropy': 0.750882351398468, 'num_tokens': 521316.0, 'mean_token_accuracy': 0.82109375, 'epoch': 1.68}
{'loss': 0.7563, 'grad_norm': 1.1664509773254395, 'learning_rate': 0.00017203417936499595, 'entropy': 0.7872382760047912, 'num_tokens': 529409.0, 'mean_token_accuracy': 0.81484375, 'epoch': 1.71}
{'loss': 0.7919, 'grad_norm': 1.0608336925506592, 'learning_rate': 0.0001712099755646863, 'entropy': 0.7938323557376862, 'num_tokens': 537654.0, 'mean_token_accuracy': 0.807421875, 'epoch': 1.74}
{'loss': 0.7411, 'grad_norm': 1.1131935119628906, 'learning_rate': 0.00017037583895134642, 'entropy': 0.7677991092205048, 'num_tokens': 545686.0, 'mean_token_accuracy': 0.82421875, 'epoch': 1.76}
{'loss': 0.7738, 'grad_norm': 0.9880448579788208, 'learning_rate': 0.00016953188587557122, 'entropy': 0.788324910402298, 'num_tokens': 553837.0, 'mean_token_accuracy': 0.813671875, 'epoch': 1.79}
{'loss': 0.7536, 'grad_norm': 1.0482637882232666, 'learning_rate': 0.00016867823405721728, 'entropy': 0.7604768574237823, 'num_tokens': 561764.0, 'mean_token_accuracy': 0.816015625, 'epoch': 1.82}
{'loss': 0.7536, 'grad_norm': 1.1214709281921387, 'learning_rate': 0.00016781500256898247, 'entropy': 0.7718948423862457, 'num_tokens': 569929.0, 'mean_token_accuracy': 0.8140625, 'epoch': 1.84}
{'loss': 0.7546, 'grad_norm': 1.0648502111434937, 'learning_rate': 0.0001669423118197969, 'entropy': 0.759945559501648, 'num_tokens': 578428.0, 'mean_token_accuracy': 0.819921875, 'epoch': 1.87}
{'loss': 0.7392, 'grad_norm': 1.007698893547058, 'learning_rate': 0.00016606028353802768, 'entropy': 0.7812871158123016, 'num_tokens': 586898.0, 'mean_token_accuracy': 0.825, 'epoch': 1.89}
{'loss': 0.7726, 'grad_norm': 1.0465059280395508, 'learning_rate': 0.00016516904075449936, 'entropy': 0.768851774930954, 'num_tokens': 595032.0, 'mean_token_accuracy': 0.815234375, 'epoch': 1.92}
{'loss': 0.7596, 'grad_norm': 1.0795891284942627, 'learning_rate': 0.00016426870778533283, 'entropy': 0.776896733045578, 'num_tokens': 603192.0, 'mean_token_accuracy': 0.810546875, 'epoch': 1.95}
{'loss': 0.7171, 'grad_norm': 0.9958388209342957, 'learning_rate': 0.00016335941021460506, 'entropy': 0.7394335150718689, 'num_tokens': 611155.0, 'mean_token_accuracy': 0.821484375, 'epoch': 1.97}
